charger_count,charging_failure_rate,avg_distance_normal,avg_distance_ev,full_parking_time,installation_cost,total_sim_time,full_parking_rate,norm_charging_failure_rate,norm_avg_distance_normal,norm_avg_distance_ev,norm_full_parking_rate,norm_installation_cost,objective_function,efficiency
5,1.0,0.6000000000000014,1.0,0.0,0.0,1440,0.1188888888888888,1.0,0.6000000000000014,1.0,0.0,0.0,2.6000000000000014,
14,0.5289017341040463,0.8000000000000007,0.35294117647058876,0.4827089337175794,0.3,1440,0.1421527777777777,0.5289017341040463,0.8000000000000007,0.3529411764705885,0.4827089337175791,0.3,2.4645518442922145,1.5703275529865124
15,0.6864161849710982,0.40000000000000213,0.35294117647058876,0.4293948126801155,0.3333333333333333,1440,0.1395833333333333,0.6864161849710982,0.4000000000000021,0.3529411764705885,0.4293948126801155,0.3333333333333333,2.2020855074551378,0.9407514450867053
16,0.5852601156069364,1.0,0.6764705882352944,0.28674351585014435,0.36666666666666664,1440,0.1327083333333333,0.5852601156069364,1.0,0.6764705882352943,0.2867435158501439,0.3666666666666666,2.9151408863590413,1.1311087756174463
18,0.5520231213872833,0.6000000000000014,0.9411764705882355,0.1383285302593662,0.4333333333333334,1440,0.1255555555555555,0.5520231213872833,0.6000000000000014,0.9411764705882356,0.1383285302593662,0.4333333333333333,2.6648614555682197,1.033792796798577
19,0.3800578034682081,0.6000000000000014,0.6176470588235299,0.4250720461095101,0.46666666666666673,1440,0.139375,0.3800578034682081,0.6000000000000014,0.6176470588235298,0.4250720461095102,0.4666666666666667,2.489443575067916,1.3284475639966968
20,0.41329479768786126,0.0,0.5000000000000004,0.5936599423631126,0.5,1440,0.1475,0.4132947976878612,0.0,0.5000000000000002,0.5936599423631124,0.5,2.0069547400509737,1.1734104046242775
22,0.35260115606936415,0.20000000000000284,0.6764705882352944,0.7262247838616713,0.5666666666666667,1440,0.1538888888888888,0.3526011560693641,0.2000000000000028,0.6764705882352943,0.7262247838616713,0.5666666666666667,2.521963194832999,1.142468548112887
23,0.30491329479768786,0.20000000000000284,0.7058823529411766,0.34293948126801155,0.6000000000000001,1440,0.1354166666666666,0.3049132947976878,0.2000000000000028,0.7058823529411765,0.3429394812680115,0.6,2.1537351290068787,1.1584778420038535
24,0.21242774566473988,0.40000000000000213,0.41176470588235325,0.6167146974063402,0.6333333333333333,1440,0.1486111111111111,0.2124277456647398,0.4000000000000021,0.411764705882353,0.6167146974063401,0.6333333333333333,2.274240482286769,1.243535138424095
26,0.1271676300578035,0.8000000000000007,0.2941176470588234,0.5028818443804037,0.7,1440,0.143125,0.1271676300578034,0.8000000000000007,0.2941176470588235,0.5028818443804036,0.7,2.4241671214970313,1.2469033856317093
27,0.2890173410404624,0.6000000000000014,0.0,0.6657060518731992,0.7333333333333334,1440,0.1509722222222222,0.2890173410404624,0.6000000000000014,0.0,0.6657060518731991,0.7333333333333333,2.288056726246996,0.9695218076720966
28,0.07658959537572253,1.0,0.6470588235294121,1.0,0.7666666666666666,1440,0.1670833333333333,0.0765895953757225,1.0,0.647058823529412,1.0,0.7666666666666667,3.4903150855718015,1.2044483538577533
29,0.15606936416184972,0.6000000000000014,0.8235294117647061,0.6253602305475505,0.8,1440,0.1490277777777778,0.1560693641618497,0.6000000000000014,0.823529411764706,0.6253602305475507,0.8,3.004959006474108,1.0549132947976878
30,0.08526011560693642,0.40000000000000213,0.4705882352941182,0.7853025936599423,0.8333333333333333,1440,0.1567361111111111,0.0852601156069364,0.4000000000000021,0.470588235294118,0.7853025936599423,0.8333333333333334,2.5744842778943324,1.0976878612716765
31,0.0,0.40000000000000213,0.4411764705882355,0.6959654178674355,0.8666666666666667,1440,0.1524305555555555,0.0,0.4000000000000021,0.4411764705882352,0.6959654178674355,0.8666666666666667,2.4038085551223394,1.1538461538461537
32,0.0,0.6000000000000014,0.2941176470588234,0.48703170028818477,0.8999999999999999,1440,0.1423611111111111,0.0,0.6000000000000014,0.2941176470588235,0.4870317002881844,0.9,2.2811493473470095,1.1111111111111112
