charging_failure_rate,avg_distance_normal,avg_distance_ev,full_parking_rate,installation_cost,charger_count,norm_charging_failure_rate,norm_avg_distance_normal,norm_avg_distance_ev,norm_full_parking_rate,norm_installation_cost,objective_function
25.2,12.0,11.2,205.3,14000,14,0.8904593639575972,0.6666666666666666,0.7857142857142853,0.47929606625258814,0.0,2.822136382591137
24.6,11.9,10.6,159.0,15000,15,0.8692579505300354,0.3333333333333333,0.35714285714285704,0.0,0.047619047619047616,1.6073531886252734
28.3,11.9,11.1,221.1,16000,16,1.0,0.3333333333333333,0.7142857142857141,0.6428571428571428,0.09523809523809523,2.7857142857142856
21.7,11.9,10.8,179.9,17000,17,0.7667844522968198,0.3333333333333333,0.5000000000000007,0.21635610766045557,0.14285714285714285,1.9593310361477523
12.5,11.9,11.3,225.8,18000,18,0.4416961130742049,0.3333333333333333,0.8571428571428577,0.6915113871635612,0.19047619047619047,2.5141598811901478
7.7,11.9,10.9,240.6,19000,19,0.27208480565371024,0.3333333333333333,0.5714285714285718,0.84472049689441,0.23809523809523808,2.2596624454052634
10.0,12.0,11.2,199.8,20000,20,0.35335689045936397,0.6666666666666666,0.7857142857142853,0.4223602484472051,0.2857142857142857,2.5138123770018064
4.7,11.9,11.5,205.7,21000,21,0.16607773851590107,0.3333333333333333,1.0,0.4834368530020703,0.3333333333333333,2.316181258184638
2.4,11.8,10.1,199.7,22000,22,0.08480565371024734,0.0,0.0,0.42132505175983426,0.38095238095238093,0.8870830864224626
2.9,11.8,11.1,224.6,23000,23,0.10247349823321554,0.0,0.7142857142857141,0.6790890269151139,0.42857142857142855,1.924419668005472
2.3,12.0,10.2,203.5,24000,24,0.0812720848056537,0.6666666666666666,0.07142857142857116,0.4606625258799172,0.47619047619047616,1.7562203249712849
1.6,12.0,10.4,226.6,25000,25,0.05653710247349823,0.6666666666666666,0.21428571428571475,0.6997929606625258,0.5238095238095238,2.1610919678979292
2.6,11.9,10.8,233.6,26000,26,0.09187279151943463,0.3333333333333333,0.5000000000000007,0.7722567287784678,0.5714285714285714,2.268891425059808
1.0,12.1,10.7,244.0,27000,27,0.0353356890459364,1.0,0.4285714285714282,0.8799171842650104,0.6190476190476191,2.962871920929994
1.3,11.9,10.8,237.0,28000,28,0.045936395759717315,0.3333333333333333,0.5000000000000007,0.8074534161490684,0.6666666666666666,2.3533898119087864
0.2,11.9,10.6,225.9,29000,29,0.007067137809187279,0.3333333333333333,0.35714285714285704,0.6925465838509318,0.7142857142857143,2.1043756264220237
0.7,12.0,10.5,213.8,30000,30,0.024734982332155476,0.6666666666666666,0.2857142857142859,0.5672877846790891,0.7619047619047619,2.306308481296959
0.2,12.1,11.1,221.3,31000,31,0.007067137809187279,1.0,0.7142857142857141,0.6449275362318843,0.8095238095238095,3.175804197850595
0.0,12.1,10.6,245.5,32000,32,0.0,1.0,0.35714285714285704,0.8954451345755694,0.8571428571428571,3.109730848861284
0.0,12.0,10.6,253.5,33000,33,0.0,0.6666666666666666,0.35714285714285704,0.9782608695652174,0.9047619047619048,2.9068322981366457
0.0,11.9,10.6,255.6,34000,34,0.0,0.3333333333333333,0.35714285714285704,1.0,0.9523809523809523,2.6428571428571423
0.0,11.9,10.8,226.7,35000,35,0.0,0.3333333333333333,0.5000000000000007,0.7008281573498965,1.0,2.53416149068323
